Code,Copert_V_name,EFbase
PCD_25,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 up to 2016,0.0075
PCD_26,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2017-2019,0.0075
PCD_27,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2020+,0.0075
PCH_1,Passenger Cars_Petrol Hybrid_Mini_Euro 4,0.0044
PCH_2,Passenger Cars_Petrol Hybrid_Mini_Euro 5,0.0044
PCH_3,Passenger Cars_Petrol Hybrid_Mini_Euro 6 up to 2016,0.0044
PCH_4,Passenger Cars_Petrol Hybrid_Mini_Euro 6 2017-2019,0.0044
PCH_5,Passenger Cars_Petrol Hybrid_Mini_Euro 6 2020+,0.0044
PCH_6,Passenger Cars_Petrol Hybrid_Small_Euro 4,0.0044
PCH_7,Passenger Cars_Petrol Hybrid_Small_Euro 5,0.0044
PCH_8,Passenger Cars_Petrol Hybrid_Small_Euro 6 up to 2016,0.0044
PCH_9,Passenger Cars_Petrol Hybrid_Small_Euro 6 2017-2019,0.0044
PCH_10,Passenger Cars_Petrol Hybrid_Small_Euro 6 2020+,0.0044
PCH_11,Passenger Cars_Petrol Hybrid_Medium_Euro 4,0.0044
PCH_12,Passenger Cars_Petrol Hybrid_Medium_Euro 5,0.0044
PCH_13,Passenger Cars_Petrol Hybrid_Medium_Euro 6 up to 2016,0.0044
PCH_14,Passenger Cars_Petrol Hybrid_Medium_Euro 6 2017-2019,0.0044
PCH_15,Passenger Cars_Petrol Hybrid_Medium_Euro 6 2020+,0.0044
PCH_16,Passenger Cars_Petrol Hybrid_Large-SUV-Executive_Euro 4,0.0044
PCH_17,Passenger Cars_Petrol Hybrid_Large-SUV-Executive_Euro 5,0.0044
PCH_18,Passenger Cars_Petrol Hybrid_Large-SUV-Executive_Euro 6 up to 2016,0.0044
PCH_19,Passenger Cars_Petrol Hybrid_Large-SUV-Executive_Euro 6 2017-2019,0.0044
PCH_20,Passenger Cars_Petrol Hybrid_Large-SUV-Executive_Euro 6 2020+,0.0044
PCLPG_1,Passenger Cars_LPG Bifuel ~ LPG_Mini_Euro 4,0.0075
PCB_1,Passenger Cars_LPG Bifuel ~ Petrol_Mini_Euro 4,0.0075
PCLPG_2,Passenger Cars_LPG Bifuel ~ LPG_Mini_Euro 5,0.0075
PCB_2,Passenger Cars_LPG Bifuel ~ Petrol_Mini_Euro 5,0.0075
PCLPG_3,Passenger Cars_LPG Bifuel ~ LPG_Mini_Euro 6,0.0075
PCB_3,Passenger Cars_LPG Bifuel ~ Petrol_Mini_Euro 6,0.0075
PCLPG_4,Passenger Cars_LPG Bifuel ~ LPG_Small_Conventional,0.0075
PCB_4,Passenger Cars_LPG Bifuel ~ Petrol_Small_Conventional,0.0075
PCLPG_5,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 1,0.0075
PCB_5,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 1,0.0075
PCLPG_6,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 2,0.0075
PCB_6,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 2,0.0075
PCLPG_7,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 3,0.0075
PCB_7,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 3,0.0075
PCLPG_8,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 4,0.0075
PCB_8,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 4,0.0075
PCLPG_9,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 5,0.0075
PCB_9,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 5,0.0075
PCLPG_10,Passenger Cars_LPG Bifuel ~ LPG_Small_Euro 6,0.0075
PCB_10,Passenger Cars_LPG Bifuel ~ Petrol_Small_Euro 6,0.0075
PCLPG_11,Passenger Cars_LPG Bifuel ~ LPG_Medium_Conventional,0.0075
PCB_11,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Conventional,0.0075
PCLPG_12,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 1,0.0075
PCB_12,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 1,0.0075
PCLPG_13,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 2,0.0075
