Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
PCD_1,Passenger Cars_Diesel_Small_Conventional,,,,,10,130,5.35E-05,0.039799759,1.550324902,3.716106742,0.000701614,0.081349501,0.728396267,0,1,1,1 
PCD_2,Passenger Cars_Diesel_Small_Euro 1,,,,,10,120,0.000167546,-0.028897926,1.530647962,5.91E-13,-1.52E-16,1.01E-15,1.5371237,0,1,1,1 
PCD_3,Passenger Cars_Diesel_Small_Euro 2,,,,,10,120,0.000153316,-0.03041853,1.572868342,4.25E-12,-4.30E-16,-3.40E-15,1.748191402,0,1,1,1 
PCD_4,Passenger Cars_Diesel_Small_Euro 3,,,,,10,120,1.91E-05,-0.004473278,0.258343902,1.678281467,-8.13E-17,6.01E-15,1.531944365,0,1,1,1 
PCD_5,Passenger Cars_Diesel_Small_Euro 4,,,,,10,130,8.50E-05,-0.012728088,0.999003862,0.882469675,0.001982367,0.04202091,2.876822862,0,1,1,1 
PCD_6,Passenger Cars_Diesel_Small_Euro 5,,,,,10,120,-0.001667067,0.212609273,-0.744959136,0.717101531,0.027359958,1.513203088,7.41E-09,0,1,1,1 
PCD_7,Passenger Cars_Diesel_Small_Euro 6 up to 2016,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
PCD_8,Passenger Cars_Diesel_Small_Euro 6 2017-2019,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
PCD_9,Passenger Cars_Diesel_Small_Euro 6 2020+,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
