Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,Urban Peak,,,10,130,0,0,26,0,0,0,1000,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,Urban Off Peak,,,10,130,0,0,26,0,0,0,1000,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,Rural,,,10,130,0,0,16,0,0,0,1000,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,Highway,,,10,130,0,0,14,0,0,0,1000,0,1,1,1 
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,,Urban Peak,,,10,130,0,0,17,0,0,0,1000,0,1,1,1 
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,,Urban Off Peak,,,10,130,0,0,17,0,0,0,1000,0,1,1,1 
