,Link_ID,FID,length
202,463,6427,0.0509344843817227
203,468,6427,0.02098821166154408
204,480,6427,0.03522925167401698
205,481,6427,0.1495638626391687
206,482,6427,0.05421802442664533
207,486,6427,0.019178129872495522
208,488,6427,0.13411181375888512
209,489,6427,0.015224811788433053
210,490,6427,0.028733953639679382
211,497,6427,0.05456648395240708
212,502,6427,0.01486496883508487
213,503,6427,0.007850640903560092
214,504,6427,0.015149874668824996
215,505,6427,0.01948312618407224
216,507,6427,0.009928180088384331
217,508,6427,0.028327851782851205
218,516,6427,0.022799457262099466
219,517,6427,0.02440564052804332
220,519,6427,0.027438391072384508
221,527,6427,0.02133761218725377
222,533,6427,0.20084043744894448
223,537,6427,0.024940496420035648
224,538,6427,0.008396020144978473
225,541,6427,0.013707824657331388
226,543,6427,0.031747962208814685
227,548,6427,0.22120104721194506
228,556,6427,0.08080600780395662
229,557,6427,0.003987684763540609
230,558,6427,0.040299782126692885
231,559,6427,0.170953307824267
232,560,6427,0.020885760073122654
233,561,6427,0.17173560625432843
234,562,6427,0.06475761732543284
235,563,6427,0.009085826111412605
236,566,6427,0.029825801972013326
237,574,6427,0.04384980413027078
238,575,6427,0.04779093280886279
239,576,6427,0.04046045794568228
240,578,6427,0.15127414436714084
241,586,6427,0.02175278594062668
242,587,6427,0.059012113340273196
243,594,6427,0.009110695586541647
244,595,6427,0.016664899795581372
245,680,6427,0.008365249538818027
246,685,6427,0.11364181946551395
247,686,6427,0.02043514006286458
248,687,6427,0.020789643890312754
249,688,6427,0.03493113419904246
250,689,6427,0.015388885711032096
251,690,6427,0.15127057087347665
252,704,6427,0.03226214204816422
253,706,6427,0.00908656989002407
254,709,6427,0.0063538708242980805
255,710,6427,0.15300338133503835
256,728,6427,0.021446428090176415
257,729,6427,0.02069641805336829
258,737,6427,0.0010808845197165804
259,739,6427,0.024763935688407724
260,740,6427,0.11126738039152595
261,741,6427,0.058792603316771726
262,762,6427,0.018259747112729277
263,763,6427,0.02213696347989943
264,764,6427,0.034237002337803316
265,765,6427,0.02891768471165341
266,766,6427,0.04161410872901209
267,767,6427,0.016757975183771975
268,768,6427,0.01531519895018879
269,769,6427,0.14793944147588017
270,770,6427,0.016557513948259415
271,771,6427,0.048809211898010005
272,772,6427,0.15126483998527798
273,773,6427,0.03945442587965796
274,774,6427,0.1096226504210954
275,775,6427,0.019449263664032865
276,776,6427,0.02033766851096347
277,777,6427,0.015273389609888232
278,778,6427,0.15931431465204846
279,779,6427,0.058168954203566575
280,780,6427,0.047778616570207266
281,781,6427,0.08080807076406334
282,782,6427,0.1731547610538221
283,783,6427,0.0261067194092856
284,784,6427,0.024614513696721456
285,785,6427,0.05281193222336842
286,786,6427,0.023671572813790658
287,787,6427,0.02681635311030204
288,788,6427,0.04008178807555603
289,789,6427,0.2219289137300052
290,790,6427,0.010213748332605195
291,791,6427,0.11695827369159931
292,792,6427,0.014060322173268832
293,793,6427,0.1669767406374591
294,794,6427,0.18831183240645608
295,795,6427,0.10124285462814996
296,804,6427,0.027329542824589652
297,805,6427,0.020622231705565056
298,808,6427,0.14764038437617547
299,809,6427,0.006117253927536174
300,816,6427,0.029196122675330328
301,870,6427,0.4827375492647873
302,871,6427,0.007015581662664354
303,872,6427,0.03712317599946145
304,873,6427,0.19989864499821433
305,874,6427,0.015776060810722477
306,875,6427,0.03280627391966638
307,876,6427,0.12048747840139751
308,877,6427,0.042999054038449516
309,878,6427,0.06506292314289765
310,879,6427,0.143763367397191
311,880,6427,0.17005253911940432
312,881,6427,0.005167298790078506
313,882,6427,0.018217177759245105
314,883,6427,0.08784503178645084
315,884,6427,0.08813638480920348
316,885,6427,0.008605430975570212
317,886,6427,0.0069205568174056055
318,887,6427,0.1319005557486164
319,888,6427,0.1423178595373901
320,889,6427,0.03247653578909261
321,890,6427,0.004844255382663617
322,891,6427,0.015152972036447186
323,892,6427,0.02659533256920969
324,893,6427,0.07227473985652375
325,894,6427,0.03511107673377727
326,895,6427,0.010806233218835922
327,896,6427,0.007367466556053339
328,897,6427,0.06765667527486917
329,898,6427,0.17990411733215392
330,899,6427,0.05485248238008962
331,900,6427,0.017349194696898673
332,901,6427,0.025109806887477756
333,902,6427,0.051353367743116884
334,903,6427,0.0351713266265158
335,904,6427,0.0609960056672694
336,905,6427,0.011187354039650346
337,906,6427,0.14802495434056942
338,907,6427,0.0076732987805803446
339,941,6427,0.012577063689066007
340,950,6427,0.03218717907056322
341,954,6427,0.017893698325721064
342,955,6427,0.0057517323994744915
343,956,6427,0.059987470537418264
344,957,6427,0.08931993736308066
345,958,6427,0.005311530199704861
