"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"LEGE","arrival","weekday",0,0,0,0,0,0,0.002520025200252,0.037780377803778,0.025190251902519,0.0629706297062971,0.047860478604786,0.045340453404534,0.0831208312083121,0.0629706297062971,0.0503805038050381,0.045340453404534,0.0730507305073051,0.0831208312083121,0.0654906549065491,0.037780377803778,0.032750327503275,0.0982409824098241,0.0856408564085641,0.0604506045060451
"LEGE","departure","weekend",0.019110191101911,0,0.00637006370063701,0.012740127401274,0.00637006370063701,0.00637006370063701,0.0764307643076431,0.025480254802548,0.0636906369063691,0.012740127401274,0.0828008280082801,0.044590445904459,0.0573205732057321,0.0764307643076431,0.044590445904459,0.0573205732057321,0.038220382203822,0.0636906369063691,0.038220382203822,0.0764307643076431,0.038220382203822,0.0573205732057321,0.0700607006070061,0.025480254802548
"LEGE","departure","weekday",0,0,0,0,0,0,0.0806008060080601,0.015110151101511,0.0654906549065491,0.0503805038050381,0.0881608816088161,0.0629706297062971,0.037780377803778,0.0629706297062971,0.0806008060080601,0.0529005290052901,0.0529005290052901,0.0554205542055421,0.0755707557075571,0.0579305793057931,0.017630176301763,0.0529005290052901,0.0730507305073051,0.017630176301763
"LEGR","arrival","weekend",0,0,0,0,0,0,0,0.037039629603704,0.0740692593074069,0.0740692593074069,0.0555594444055559,0.0555594444055559,0.0925890741092589,0.0555594444055559,0.0925890741092589,0.018519814801852,0.037039629603704,0.0925890741092589,0.0555594444055559,0.037039629603704,0.0555594444055559,0.0740692593074069,0.0925890741092589,0
"LEGR","arrival","weekday",0,0,0,0,0,0,0,0.032,0.072,0.064,0.032,0.112,0.096,0.04,0.056,0.024,0.04,0.056,0.072,0.112,0.032,0.072,0.08,0.008
"LEGR","departure","weekend",0,0,0,0,0,0,0,0.018520185201852,0.0925909259092591,0.0925909259092591,0.0740707407074071,0.0740707407074071,0.0555605556055561,0.0555605556055561,0.018520185201852,0.0740707407074071,0.0740707407074071,0.0740707407074071,0.037040370403704,0.037040370403704,0.0740707407074071,0.018520185201852,0.0925909259092591,0.037040370403704
"LEGR","departure","weekday",0.008,0,0,0,0,0,0,0.04,0.072,0.056,0.056,0.064,0.112,0.064,0.024,0.08,0.04,0.048,0.064,0.064,0.08,0.016,0.096,0.016
"LEHC","arrival","weekend",0,0,0,0,0,0,0,0,0,0,0.125,0,0.1875,0.21875,0.03125,0.09375,0.09375,0.09375,0.15625,0,0,0,0,0
"LEHC","arrival","weekday",0,0,0,0,0,0,0,0,0,0,0.142861428614286,0,0.133331333313333,0.0761907619076191,0.133331333313333,0.0571405714057141,0.247622476224762,0,0.20000200002,0.00952009520095201,0,0,0,0
"LEHC","departure","weekend",0,0,0,0,0,0,0,0,0.129031290312903,0.258062580625806,0,0.0645206452064521,0.0967709677096771,0.193551935519355,0.032260322603226,0.129031290312903,0.0967709677096771,0,0,0,0,0,0,0
"LEHC","departure","weekday",0,0,0,0,0,0,0,0,0.07407,0.23148,0.03704,0.12037,0.02778,0.10185,0.0463,0.12963,0.00926,0.21296,0.00926,0,0,0,0,0
"LEIB","arrival","weekend",0.0433691326173477,0.0433691326173477,0.0408191836163277,0.0178596428071439,0.0127597448051039,0.0153096938061239,0.0178596428071439,0.0306093878122438,0.0382692346153077,0.0586688266234675,0.0484690306193876,0.0331593368132637,0.0765284694306114,0.0459190816183676,0.0382692346153077,0.0586688266234675,0.0433691326173477,0.0510189796204076,0.0561188776224476,0.0535689286214276,0.0382692346153077,0.0612187756244875,0.0459190816183676,0.0306093878122438
"LEIB","arrival","weekday",0.0247295054098918,0.0509989800203996,0.0123597528049439,0.00154996900061999,0.00154996900061999,0.0216395672086558,0.0108197836043279,0.0293694126117478,0.0417291654166917,0.0463690726185476,0.0788284234315314,0.0710985780284394,0.0633687326253475,0.0726385472290554,0.0710985780284394,0.0355492890142197,0.0602787944241115,0.0339993200135997,0.0494590108197836,0.0401891962160757,0.0556388872222556,0.0448191036179276,0.0494590108197836,0.0324593508129837
"LEIB","departure","weekend",0.027160271602716,0.041980419804198,0.029630296302963,0.022220222202222,0.024690246902469,0.00988009880098801,0.037040370403704,0.027160271602716,0.034570345703457,0.046910469104691,0.0617306173061731,0.0666706667066671,0.044440444404444,0.0543205432054321,0.037040370403704,0.041980419804198,0.044440444404444,0.044440444404444,0.0592605926059261,0.0518505185051851,0.0543205432054321,0.044440444404444,0.049380493804938,0.044440444404444
