"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"GCHI","departure","weekend",0.0526305263052631,0,0,0,0,0,0,0,0,0.105261052610526,0.0526305263052631,0.263162631626316,0,0.263162631626316,0,0,0.0526305263052631,0.0526305263052631,0.105261052610526,0.0526305263052631,0,0,0,0
"GCHI","departure","weekday",0,0,0,0,0,0,0,0,0,0.138888611113889,0.027779722202778,0.166668333316667,0.166668333316667,0.138888611113889,0.027779722202778,0,0.111108888911111,0.0833291667083329,0.138888611113889,0,0,0,0,0
"GCLA","arrival","weekend",0,0,0,0,0,0,0,0,0,0.105258947410526,0.035089649103509,0.0877191228087719,0.0701792982070179,0.0877191228087719,0.0877191228087719,0.035089649103509,0.0526294737052629,0.122808771912281,0.0877191228087719,0.035089649103509,0.0701792982070179,0.105258947410526,0.017539824601754,0
"GCLA","arrival","weekday",0,0,0,0,0,0,0,0,0,0.130718692813072,0.0457495425045749,0.0784292157078429,0.0980390196098039,0.0653593464065359,0.0718992810071899,0.026139738602614,0.0522894771052289,0.0849691503084969,0.104578954210458,0.0653593464065359,0.0718992810071899,0.0914990850091499,0.013069869301307,0
"GCLA","departure","weekend",0,0,0,0,0,0,0,0,0,0.122807543849123,0.0350892982140357,0.0526289474210516,0.0877182456350873,0.0526289474210516,0.0877182456350873,0.0526289474210516,0.0701785964280714,0.0701785964280714,0.175436491270175,0.0350892982140357,0.0701785964280714,0.0526289474210516,0.0350892982140357,0
"GCLA","departure","weekday",0,0,0,0,0,0,0,0,0,0.15033,0.02614,0.06536,0.11111,0.05882,0.08497,0.02614,0.06536,0.05882,0.09804,0.0915,0.03922,0.08497,0.03268,0.00654
"GCLP","arrival","weekend",0.020589794102059,0.017649823501765,0.029409705902941,0.020589794102059,0.023529764702353,0.00587994120058799,0.017649823501765,0.00587994120058799,0.023529764702353,0.0705892941070589,0.0823491765082349,0.0705892941070589,0.032349676503235,0.020589794102059,0.0470595294047059,0.023529764702353,0.0470595294047059,0.0705892941070589,0.0558794412055879,0.0705892941070589,0.0882391176088239,0.0588194118058819,0.038239617603824,0.0588194118058819
"GCLP","arrival","weekday",0.03591107733232,0.0165704971149134,0.0179605388161645,0.0110503315099453,0.0124303729111873,0.00414012420372611,0.0124303729111873,0,0.0138104143124294,0.0483414502435073,0.0842525275758273,0.0566316989509685,0.0593917817534526,0.0635419062571877,0.0607718231546946,0.0469614088422653,0.0428212846385392,0.0649219476584298,0.0442013260397812,0.0676820304609138,0.073202196065882,0.0497214916447493,0.0511015330459914,0.0621518645559367
"GCLP","departure","weekend",0.0174903498069961,0.00875017500350007,0.0145802916058321,0.0291505830116602,0.0174903498069961,0.0116602332046641,0,0.0583111662233245,0.0758015160303206,0.0437308746174924,0.0699713994279886,0.0699713994279886,0.0728914578291566,0.0320706414128283,0.0174903498069961,0.0524810496209924,0.0379007580151603,0.0437308746174924,0.0553911078221564,0.0524810496209924,0.0903818076361527,0.0612212244244885,0.0553911078221564,0.0116602332046641
"GCLP","departure","weekday",0.00824983500329994,0.00549989000219996,0.0192596148077038,0.0192596148077038,0.0137597248055039,0.00137997240055199,0.00274994500109998,0.0481390372192556,0.0866582668346633,0.0440191196176076,0.0618987620247595,0.0701485970280595,0.0563988720225596,0.0536489270214596,0.0536489270214596,0.0618987620247595,0.0673986520269595,0.0453890922181556,0.0660186796264075,0.0371392572148557,0.0618987620247595,0.0660186796264075,0.0426391472170557,0.00687986240275195
"GCRR","arrival","weekend",0,0,0,0,0,0,0,0,0.07602,0.07018,0.05848,0.05848,0.05848,0.04678,0.05263,0.07018,0.01754,0.05263,0.14035,0.05848,0.06433,0.09357,0.02924,0.05263
"GCRR","arrival","weekday",0.00542005420054201,0.00542005420054201,0,0,0,0,0,0,0.0623306233062331,0.0623306233062331,0.046070460704607,0.0704607046070461,0.0542005420054201,0.0704607046070461,0.0785907859078591,0.0840108401084011,0.0596205962059621,0.0542005420054201,0.0514905149051491,0.0704607046070461,0.0596205962059621,0.0948509485094851,0.0433604336043361,0.02710027100271
"GCRR","departure","weekend",0.0173406936277451,0,0,0,0,0,0,0,0.046241849673987,0.121394855794232,0.0231209248369935,0.0693627745109804,0.0520220808832353,0.046241849673987,0.0635825433017321,0.0404616184647386,0.0635825433017321,0.0231209248369935,0.0751430057202288,0.12717508700348,0.0635825433017321,0.0635825433017321,0.0635825433017321,0.0404616184647386
"GCRR","departure","weekday",0.01629983700163,0,0.002719972800272,0,0,0,0,0.002719972800272,0.035329646703533,0.0869591304086959,0.043479565204348,0.0679293207067929,0.048909510904891,0.0706492935070649,0.0570694293057069,0.0760892391076089,0.0978290217097829,0.0597794022059779,0.048909510904891,0.0652193478065219,0.0570694293057069,0.0815191848081519,0.0597794022059779,0.021739782602174
"GCTS","arrival","weekend",0.035210352103521,0.0633806338063381,0.0774607746077461,0.014080140801408,0.014080140801408,0.028170281702817,0.021130211302113,0.00704007040070401,0.028170281702817,0.014080140801408,0.042250422504225,0.0633806338063381,0.0633806338063381,0,0.0563405634056341,0.028170281702817,0.028170281702817,0.0985909859098591,0.0845108451084511,0.112681126811268,0.035210352103521,0.021130211302113,0.035210352103521,0.028170281702817
"GCTS","arrival","weekday",0.0415616624664987,0.046451858074323,0.0391215648625945,0.0268910756430257,0.00489019560782431,0.00733029321172847,0.00978039121564863,0.00978039121564863,0.00733029321172847,0.0171106844273771,0.0611224448977959,0.0293411736469459,0.078243129725189,0.0342313692547702,0.0489019560782431,0.0537921516860674,0.0537921516860674,0.0586823472938918,0.0513420536821473,0.078243129725189,0.0806832273290932,0.0586823472938918,0.0586823472938918,0.0440117604704188
"GCTS","departure","weekend",0,0.00685,0.05479,0.07534,0.02055,0,0.0137,0.05479,0.0411,0.06164,0.02055,0.06849,0.06164,0.08219,0,0.0411,0.02055,0.0274,0.08904,0.07534,0.08904,0.03425,0.0137,0.04795
"GCTS","departure","weekday",0.01737,0.01489,0.00496,0.0397,0.03226,0.00496,0,0.0397,0.05211,0.067,0.02233,0.0794,0.02978,0.067,0.04715,0.05459,0.05459,0.04467,0.05955,0.04218,0.06452,0.07444,0.05211,0.03474
"GCXO","arrival","weekend",0,0.00526,0,0,0,0,0,0,0.03158,0.02632,0.09474,0.04211,0.08947,0.06316,0.05789,0.04211,0.04737,0.1,0.08421,0.08947,0.06842,0.05789,0.09474,0.00526
"GCXO","arrival","weekday",0,0,0,0,0,0,0,0,0.040649593504065,0.032519674803252,0.103658963410366,0.030489695103049,0.0975590244097559,0.0569094309056909,0.0772392276077239,0.0589394106058939,0.0650393496065039,0.0853691463085369,0.0528494715052849,0.0873991260087399,0.0650393496065039,0.0731692683073169,0.0711392886071139,0.002029979700203
"GCXO","departure","weekend",0,0,0,0,0,0,0,0,0.09474,0.04211,0.08947,0.03684,0.08947,0.06316,0.08421,0.05263,0.04211,0.1,0.07368,0.08947,0.07895,0.03158,0.02632,0.00526
"GCXO","departure","weekday",0,0,0,0,0,0,0,0,0.0914590854091459,0.0569094309056909,0.0711392886071139,0.0711392886071139,0.0691093089069109,0.0894291057089429,0.0670693293067069,0.0609793902060979,0.0528494715052849,0.0650393496065039,0.0995890041099589,0.0508094919050809,0.0873991260087399,0.038619613803862,0.024389756102439,0.004069959300407
"GEML","arrival","weekend",0,0,0,0,0,0,0,0.0689693103068969,0.103448965510345,0,0.103448965510345,0.034479655203448,0.172408275917241,0.0689693103068969,0.0689693103068969,0.034479655203448,0,0.137928620713793,0.103448965510345,0.0689693103068969,0.034479655203448,0,0,0
"GEML","arrival","weekday",0,0,0,0,0,0,0,0.012349876501235,0.037039629603704,0.0740692593074069,0.160488395116049,0.012349876501235,0.0987690123098769,0.0987690123098769,0.037039629603704,0.0864191358086419,0.0740692593074069,0.197528024719753,0.012349876501235,0.0493795062049379,0.0493795062049379,0,0,0
"GEML","departure","weekend",0,0,0,0,0,0,0,0,0.137927241455171,0.0344793104137917,0,0.0689686206275875,0.0689686206275875,0.206895862082758,0.0344793104137917,0.0689686206275875,0.0344793104137917,0.103447931041379,0.0689686206275875,0.103447931041379,0.0689686206275875,0,0,0
"GEML","departure","weekday",0,0,0,0,0,0,0,0,0.0493804938049381,0.0617306173061731,0.0617306173061731,0.0740707407074071,0.0740707407074071,0.0740707407074071,0.0493804938049381,0.111111111111111,0.13580135801358,0.0987709877098771,0.111111111111111,0,0.0864208642086421,0.012350123501235,0,0
"LEAB","arrival","weekend",0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0
"LEAB","arrival","weekday",0,0,0,0,0,0,0,0,0,0,0,0.235294705894118,0,0,0.0588211764235285,0,0.235294705894118,0.0588211764235285,0.0588211764235285,0,0,0.0588211764235285,0.29412588251765,0
"LEAB","departure","weekend",0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0
"LEAB","departure","weekday",0,0,0,0,0,0,0,0.29412588251765,0,0.0588211764235285,0,0,0.0588211764235285,0,0,0.411768235364707,0.0588211764235285,0.0588211764235285,0.0588211764235285,0,0,0,0,0
"LEAL","arrival","weekend",0.0391492170156597,0.00355992880142397,0.0106797864042719,0,0,0,0.00355992880142397,0.0249095018099638,0.0604987900241995,0.0747285054298914,0.0889682206355873,0.0676186476270475,0.0569388612227755,0.0391492170156597,0.0426991460170797,0.0426991460170797,0.0391492170156597,0.0854082918341633,0.0355892882142357,0.0569388612227755,0.0676186476270475,0.0676186476270475,0.0498190036199276,0.0426991460170797
