engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
8CM052,0.0002126,2.126e-05,0.02102,1.063,0.0001237,0.0001237,3.34845,0.0005315
8CM053,0.0002546,2.214e-05,0.02298,1.107,0.0001302,0.0001302,3.48705,0.0005535
8CM054,0.0002883,2.306e-05,0.02517,1.153,0.0001378,0.0001378,3.63195,0.0005765
8CM055,0.0001502,1.878e-05,0.01618,0.939,9.203e-05,9.203e-05,2.95785,0.0004695
8CM056,0.0001486,2.229e-05,0.01041,0.743,6.522e-05,6.522e-05,2.34045,0.0003715
8CM057,0.000136,2.4e-05,0.0119,0.8,7.203e-05,7.203e-05,2.52,4e-04
8CM058,0.0001502,1.878e-05,0.01618,0.939,9.203e-05,9.203e-05,2.95785,0.0004695
8CM059,0.0001527,2.181e-05,0.01003,0.727,5.978e-05,5.978e-05,2.29005,0.0003635
8CM060,0.0001348,2.379e-05,0.0117,0.793,7.14e-05,7.14e-05,2.49795,0.0003965
8CM061,0.0001966,2.106e-05,0.009126,0.702,5.62e-05,5.62e-05,2.2113,0.000351
8CM062,0.0001716,2.238e-05,0.01009,0.746,6.053e-05,6.053e-05,2.3499,0.000373
8CM063,0.0001414,2.496e-05,0.01221,0.832,7.303e-05,7.303e-05,2.6208,0.000416
8CM064,0.0001343,2.685e-05,0.01396,0.895,8.213e-05,8.213e-05,2.81925,0.0004475
8CM065,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
8CM066,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
8GE100,0.0003418,0.0001139,0.1189,2.848,0.0001778,0.0001778,8.9712,0.001424
8GE101,4.212e-05,8.424e-05,0.04389,2.106,0.0001444,0.0001444,6.6339,0.001053
8GE102,0.000334,1.172e-05,0.007923,0.586,3.982e-05,3.982e-05,1.8459,0.000293
8GE103,0.000334,1.172e-05,0.007923,0.586,3.982e-05,3.982e-05,1.8459,0.000293
8GE104,0.0003209,1.126e-05,0.007403,0.563,3.581e-05,3.581e-05,1.77345,0.0002815
8GE105,0.0003209,1.126e-05,0.007403,0.563,3.581e-05,3.581e-05,1.77345,0.0002815
8GE106,0.0003209,1.126e-05,0.007403,0.563,3.581e-05,3.581e-05,1.77345,0.0002815
8GE107,0.0003095,1.086e-05,0.006961,0.543,3.251e-05,3.251e-05,1.71045,0.0002715
8GE108,0.0003038,1.066e-05,0.006742,0.533,3.095e-05,3.095e-05,1.67895,0.0002665
8GE109,0.0003038,1.066e-05,0.006742,0.533,3.095e-05,3.095e-05,1.67895,0.0002665
8GE110,0.0003021,1.06e-05,0.006678,0.53,3.052e-05,3.052e-05,1.6695,0.000265
8GE111,0.0003004,1.054e-05,0.006614,0.527,3.008e-05,3.008e-05,1.66005,0.0002635
8GE112,0.0002883,1.491e-05,0.005979,0.497,2.705e-05,2.705e-05,1.56555,0.0002485
8GE113,0.0002813,1.455e-05,0.005733,0.485,2.6e-05,2.6e-05,1.52775,0.0002425
