engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
8CM062,0.001348,2.144e-05,0.002139,0.268,1.736e-05,1.736e-05,0.8442,0.000134
8CM063,0.001216,2.037e-05,0.00243,0.291,1.869e-05,1.869e-05,0.91665,0.0001455
8CM064,0.001133,1.848e-05,0.002649,0.308,1.961e-05,1.961e-05,0.9702,0.000154
8CM065,0.001016,1.655e-05,0.002956,0.331,2.088e-05,2.088e-05,1.04265,0.0001655
8CM066,0.0009673,1.715e-05,0.003118,0.343,2.164e-05,2.164e-05,1.08045,0.0001715
8GE100,0.0009716,4.54e-05,0.01578,0.908,6.429e-05,6.429e-05,2.8602,0.000454
8GE101,0.001158,6.165e-05,0.008508,0.685,3.701e-05,3.701e-05,2.15775,0.0003425
8GE102,0.0007566,1.158e-05,0.00214,0.193,1.01e-05,1.01e-05,0.60795,9.65e-05
8GE103,0.0007566,1.158e-05,0.00214,0.193,1.01e-05,1.01e-05,0.60795,9.65e-05
8GE104,0.0007614,1.128e-05,0.002079,0.188,9.839e-06,9.839e-06,0.5922,9.4e-05
8GE105,0.0007614,1.128e-05,0.002079,0.188,9.839e-06,9.839e-06,0.5922,9.4e-05
8GE106,0.0007614,1.128e-05,0.002079,0.188,9.839e-06,9.839e-06,0.5922,9.4e-05
8GE107,0.0007631,1.098e-05,0.001989,0.183,9.577e-06,9.577e-06,0.57645,9.15e-05
8GE108,0.0007614,1.08e-05,0.001939,0.18,9.42e-06,9.42e-06,0.567,9e-05
8GE109,0.0007614,1.08e-05,0.001939,0.18,9.42e-06,9.42e-06,0.567,9e-05
8GE110,0.000759,1.074e-05,0.001924,0.179,9.368e-06,9.368e-06,0.56385,8.95e-05
8GE111,0.0007625,1.074e-05,0.001919,0.179,9.368e-06,9.368e-06,0.56385,8.95e-05
8GE112,0.0007592,1.197e-05,0.001782,0.171,9.045e-06,9.045e-06,0.53865,8.55e-05
8GE113,0.0007594,1.176e-05,0.001729,0.168,8.887e-06,8.887e-06,0.5292,8.4e-05
8GE114,0.0009901,2.22e-05,0.001696,0.222,1.243e-05,1.243e-05,0.6993,0.000111
8IA009,0.0007784,1.914e-05,0.002839,0.319,6.563e-05,6.563e-05,1.00485,0.0001595
8IA010,0.0007784,1.914e-05,0.002839,0.319,6.563e-05,6.563e-05,1.00485,0.0001595
8PW085,0.0006294,0.0001144,0.001802,0.2861,3.007e-05,3.007e-05,0.901215,0.00014305
8PW086,0.00475,0.0007917,0.004628,0.609,8.29e-05,8.29e-05,1.91835,0.0003045
8PW087,0.004704,0.0008047,0.004704,0.619,8.426e-05,8.426e-05,1.94985,0.0003095
8PW088,0.004704,0.0008047,0.004704,0.619,8.426e-05,8.426e-05,1.94985,0.0003095
8PW089,0.00035,0.000175,0.0105,0.875,5.569e-05,5.569e-05,2.75625,0.0004375
8RR043,0.005664,0.002017,0.002215,0.279,0.0001271,0.0001271,0.87885,0.0001395
8RR044,0.000396,2.4e-05,0.006822,0.6,3.692e-05,3.692e-05,1.89,3e-04
8RR045,0.0003348,2.48e-05,0.007242,0.62,3.856e-05,3.856e-05,1.953,0.00031
8RR046,0.00098,7e-07,0.00798,0.7,4.462e-05,4.462e-05,2.205,0.00035
9EA001,0.000903,4.977e-05,0.009172,0.711,4.613e-05,4.613e-05,2.23965,0.0003555
9GE124,0.002044,5.166e-05,0.01015,0.738,4.41e-05,4.41e-05,2.3247,0.000369
9GE125,0.002019,5.215e-05,0.01033,0.745,4.457e-05,4.457e-05,2.34675,0.0003725
